Run,Event,Cluster ID,Vertex X,Vertex Y,Vertex Z,,
8406,5272,0,-1,-1,-1,,
8406,5462,0,-96.0072,-9.8677,370.429,,
8406,6075,0,193.776,-21.4166,769.225,,
8406,5170,1,-93.14459839,35.697686,118.15,,
8406,5283,1,-159.645,-41.0467,756.55,,
8406,6084,1,85.878,16.01,565.95,,
8556,498,1,-89.181,39.5948,191.387,,
8406,5384,2,-13.212,12.7985,512.488,,
8556,754,2,71.7852,-12.3915,159.914,,
8406,6088,3,66.28019409,-82.81735382,863.5738281,,
8406,5210,4,95.787,31.7429,174.1,Prob not Michel,
8406,6064,4,-1,-1,-1,,
8556,405,4,-1,-1,-1,not Michel,
8406,5177,5,-1,-1,-1,,
8406,5314,5,283.1771973,-6.766583761,849.3976237,,
8406,6751,5,179.243,-26.8385,850.899,small Michel,
8556,755,5,-1,-1,-1,,
8406,6096,7,-51.3066,72.8501,1017.7,,
8406,6780,7,303.656,42.3214,837.475, ,
8556,414,7,40.9571991,25.36305898,978.7476563,,
8406,5491,8,295.949,65.4017,828.199,Small Michel,
8406,6068,8,-1,-1,-1,,
8406,6087,8,69.8034,69.5593,283.9,,
8406,5253,9,-45.80159912,22.53269882,971.95,,
8406,5412,9,-11.8908,-29.3405,783.099,,
8406,5261,10,-33.2502,10.0344,606.1,,
8406,6752,10,-119.1281982,-77.14555562,868.6,,
8556,795,11,-164.93,-19.2084,581.2,,
8556,797,11,9.909,-3.0041,538.383,,
8556,405,12,-23.7816,-54.066,408.075,,
8406,5169,13,130.1381958,7.681700134,335.275,,
8406,5370,13,70.9044,-24.7221,912.498,,
8406,5496,13,202.804,-28.7347,596.95,,
8406,6087,13,-1,-1,-1,not Michel,
8406,5228,14,-1,-1,-1,,
8406,6087,14,-144.671,18.6947,608.1,,
8556,498,14,-1,-1,-1,,
8556,762,14,140.488,7.77824,856.63,,
8406,5348,15,143.3501953,-0.138512231,678.4,,
8406,5496,16,-1,-1,-1,,
8406,6668,16,-1,-1,-1,,
8406,5331,18,-9.4686,9.06254,388.75,,
8406,5343,18,166.912,19.7628,631.69,,
8406,5462,18,-1,-1,-1,,
8406,6661,18,100.191,-33.9885,348.15,Prob not Michel,
8406,6150,19,-1,-1,-1,,
8406,5383,20,-1,-1,-1,,
8406,5499,20,-50.4258,4.37637,785.1,,
8406,6168,20,-1,-1,-1,,
8406,5307,21,8.3676,-45.5356,499.75,,
8406,6170,21,-1,-1,-1,,
